trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 28.5551, 11.2422, 10, 1.6764, 80, 300, -1.4976, 2.4227, 0.7976, -1.5181, -0.3429, 1.2855, -1.5439, 0.4242, 1.0745
2, 25.3559, 9.9826, 10, 1.6764, 80, 300, -1.4979, 2.4227, 0.7979, -1.5153, -0.3250, 1.2765, -1.5388, 0.4717, 1.0675
3, 38.5880, 15.1921, 10, 1.6764, 80, 300, -1.4977, 2.4228, 0.7978, -1.5182, -0.3599, 1.2934, -1.5349, 0.6914, 0.9550
4, 39.5657, 15.5771, 10, 1.6764, 80, 300, -1.4976, 2.4227, 0.7975, -1.5187, -0.3424, 1.2822, -1.5458, 0.8594, 0.8947
5, 34.9896, 13.7754, 10, 1.6764, 80, 300, -1.4978, 2.4228, 0.7977, -1.5181, -0.3693, 1.2997, -1.5400, 0.6889, 0.9740
6, 21.5352, 8.4784, 10, 1.6764, 80, 300, -1.4976, 2.4227, 0.7976, -1.5143, -0.3523, 1.2884, -1.5386, 0.3293, 1.1216
7, 26.1392, 10.2910, 10, 1.6764, 80, 300, -1.4975, 2.4226, 0.7977, -1.5132, -0.3136, 1.2660, -1.5413, 0.4211, 1.0756
8, 196.1532, 77.2257, 10, 1.6764, 80, 300, -1.4979, 2.4227, 0.7978, -1.5802, -0.1357, 1.2870, -1.5925, -0.1152, 1.2567
9, 26.4811, 10.4256, 10, 1.6764, 80, 300, -1.4976, 2.4228, 0.7979, -1.5137, -0.3756, 1.3027, -1.5364, 0.5263, 1.0562
10, 22.1235, 8.7100, 10, 1.6764, 80, 300, -1.4980, 2.4228, 0.7978, -1.5127, -0.3822, 1.3066, -1.5385, 0.2980, 1.1366
