trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 88.1147, 34.6908, 10, 1.6256, 80, 500, -1.4977, 2.4230, 0.7975, -1.5907, -2.5080, 1.3210, -1.6673, -1.7903, 1.3368
2, 82.3289, 32.4129, 10, 1.6256, 80, 500, -1.4978, 2.4230, 0.7973, -1.5926, -2.5161, 1.3207, -1.6581, -1.9036, 1.3231
3, 88.4590, 34.8264, 10, 1.6256, 80, 500, -1.4972, 2.4230, 0.7976, -1.5918, -2.5193, 1.3240, -1.6628, -1.7924, 1.3457
4, 76.4358, 30.0928, 10, 1.6256, 80, 500, -1.4975, 2.4229, 0.7975, -1.5881, -2.5212, 1.3195, -1.6480, -1.8023, 1.3277
5, 78.3278, 30.8377, 10, 1.6256, 80, 500, -1.4976, 2.4230, 0.7977, -1.5875, -2.5254, 1.3218, -1.6342, -1.9256, 1.3340
6, 87.1386, 34.3065, 10, 1.6256, 80, 500, -1.4973, 2.4229, 0.7978, -1.5885, -2.5372, 1.3248, -1.6382, -1.9523, 1.3461
7, 76.3019, 30.0401, 10, 1.6256, 80, 500, -1.4974, 2.4229, 0.7975, -1.5868, -2.5353, 1.3218, -1.6329, -1.9096, 1.3331
8, 80.9106, 31.8546, 10, 1.6256, 80, 500, -1.4976, 2.4227, 0.7977, -1.5917, -2.5351, 1.3249, -1.6435, -1.9325, 1.3365
9, 82.3249, 32.4114, 10, 1.6256, 80, 500, -1.4973, 2.4230, 0.7976, -1.5909, -2.5286, 1.3251, -1.6386, -1.9897, 1.3364
10, 66.8744, 26.3285, 10, 1.6256, 80, 500, -1.4984, 2.4225, 0.7978, -1.5914, -2.5198, 1.3211, -1.6445, -1.8343, 1.3138
11, 64.2845, 25.3089, 10, 1.6256, 80, 500, -1.4974, 2.4229, 0.7976, -1.5883, -2.5254, 1.3239, -1.6292, -2.0325, 1.3117
12, 63.2394, 24.8974, 10, 1.6256, 80, 500, -1.4974, 2.4229, 0.7976, -1.5910, -2.5255, 1.3236, -1.6494, -1.8771, 1.2983
13, 63.2264, 24.8923, 10, 1.6256, 80, 500, -1.4974, 2.4229, 0.7975, -1.5883, -2.5208, 1.3189, -1.6347, -1.9705, 1.3029
14, 59.0862, 23.2623, 10, 1.6256, 80, 500, -1.4976, 2.4231, 0.7978, -1.5884, -2.5081, 1.3134, -1.6398, -1.8716, 1.2899
15, 60.9315, 23.9888, 10, 1.6256, 80, 500, -1.4975, 2.4228, 0.7975, -1.5901, -2.5042, 1.3078, -1.6382, -1.9512, 1.2861
16, 64.0218, 25.2054, 10, 1.6256, 80, 500, -1.4973, 2.4229, 0.7976, -1.5965, -2.5044, 1.3088, -1.6405, -1.9892, 1.2946
17, 50.1782, 19.7552, 10, 1.6256, 80, 500, -1.4979, 2.4231, 0.7977, -1.5975, -2.4928, 1.3081, -1.6418, -1.8668, 1.2720
18, 59.5694, 23.4525, 10, 1.6256, 80, 500, -1.4974, 2.4229, 0.7977, -1.6016, -2.5013, 1.3174, -1.6527, -1.9154, 1.2872
19, 57.6540, 22.6984, 10, 1.6256, 80, 500, -1.4974, 2.4229, 0.7976, -1.5871, -2.4935, 1.3074, -1.6441, -1.7925, 1.2784
20, 65.2193, 25.6769, 10, 1.6256, 80, 500, -1.4976, 2.4228, 0.7983, -1.5809, -2.5006, 1.3064, -1.6371, -1.9064, 1.2879
