trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 5.8134, 2.2887, 10, 1.6256, 80, 100, -1.4977, 2.4226, 0.7973, -1.5408, 1.6898, 1.0820, -1.5543, 2.4097, 0.8148
2, 4.6793, 1.8422, 10, 1.6256, 80, 100, -1.4981, 2.4226, 0.7974, -1.5326, 1.6635, 1.0836, -1.5315, 2.2508, 0.8892
3, 21.3725, 8.4144, 10, 1.6256, 80, 100, -1.4980, 2.4226, 0.7975, -1.5938, 1.9994, 0.9601, -1.5855, 2.5823, 0.3517
4, 17.7646, 6.9940, 10, 1.6256, 80, 100, -1.4980, 2.4225, 0.7975, -1.5615, 2.3974, 0.5913, -1.5272, 3.8625, -0.8398
5, 5.4702, 2.1536, 10, 1.6256, 80, 100, -1.4985, 2.4224, 0.7977, -1.5273, 1.7358, 1.0459, -1.5345, 2.2087, 0.9022
6, 4.2859, 1.6874, 10, 1.6256, 80, 100, -1.4980, 2.4226, 0.7975, -1.5323, 1.6023, 1.1297, -1.5009, 2.6090, 0.6655
7, 5.4476, 2.1447, 10, 1.6256, 80, 100, -1.4979, 2.4225, 0.7977, -1.5320, 1.7010, 1.0594, -1.5418, 2.5058, 0.7267
8, 5.4028, 2.1271, 10, 1.6256, 80, 100, -1.4979, 2.4229, 0.7975, -1.5284, 1.6812, 1.0733, -1.5279, 2.4365, 0.7425
9, 8.4601, 3.3308, 10, 1.6256, 80, 100, -1.4978, 2.4228, 0.7978, -1.5467, 1.5205, 1.2275, -1.5529, 2.3293, 0.9036
10, 6.4562, 2.5418, 10, 1.6256, 80, 100, -1.4974, 2.4227, 0.7979, -1.5362, 1.6910, 1.1060, -1.5313, 2.4019, 0.7469
