trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 275.9884, 108.6569, 10, 1.6764, 80, 500, -1.4978, 2.4228, 0.7977, -1.4973, -1.9949, 1.1430, -1.5444, -2.2068, 1.3338
2, 70.3824, 27.7096, 10, 1.6764, 80, 500, -1.4976, 2.4226, 0.7976, -1.5048, -2.3276, 1.2900, -1.5383, -2.0724, 1.2808
3, 290.6092, 114.4131, 10, 1.6764, 80, 500, -1.4981, 2.4228, 0.7979, -1.5004, -2.0848, 1.1621, -1.5405, -2.2759, 1.3456
4, 225.5814, 88.8116, 10, 1.6764, 80, 500, -1.4976, 2.4227, 0.7975, -1.4969, -1.8904, 1.0813, -1.5422, -2.2737, 1.3475
5, 312.7452, 123.1281, 10, 1.6764, 80, 500, -1.4978, 2.4228, 0.7977, -1.5037, -2.1289, 1.1906, -1.5411, -2.2782, 1.3522
6, 203.3422, 80.0560, 10, 1.6764, 80, 500, -1.4975, 2.4227, 0.7977, -1.4744, -0.9058, 0.3168, -1.6645, 1.2406, -0.8632
7, 425.7808, 167.6302, 10, 1.6764, 80, 500, -1.4981, 2.4228, 0.7977, -1.5039, -2.1258, 1.1893, -1.5448, -2.1642, 1.3126
8, 358.9053, 141.3013, 10, 1.6764, 80, 500, -1.4979, 2.4227, 0.7977, -1.5022, -2.1057, 1.1773, -1.5440, -2.2042, 1.3218
9, 102.5874, 40.3887, 10, 1.6764, 80, 500, -1.4978, 2.4227, 0.7977, -1.5076, -2.3246, 1.2817, -1.5475, -2.0899, 1.2893
10, 377.9058, 148.7818, 10, 1.6764, 80, 500, -1.4979, 2.4227, 0.7977, -1.4952, -2.0978, 1.1687, -1.5420, -2.1852, 1.3186
11, 378.2318, 148.9102, 10, 1.6764, 80, 500, -1.4979, 2.4227, 0.7977, -2.3041, -2.4003, 0.7635, -2.2389, -1.6177, -0.1759
12, 34.5976, 13.6211, 10, 1.6764, 80, 500, -1.4977, 2.4226, 0.7977, -1.5313, -2.2693, 1.3102, -1.5701, -1.6866, 1.2475
13, 37.8437, 14.8991, 10, 1.6764, 80, 500, -1.4977, 2.4228, 0.7976, -1.5282, -2.2966, 1.3192, -1.5733, -1.4454, 1.1781
14, 39.9805, 15.7403, 10, 1.6764, 80, 500, -1.4978, 2.4227, 0.7978, -1.5326, -2.3359, 1.3343, -1.5859, -1.4834, 1.1972
15, 35.0566, 13.8018, 10, 1.6764, 80, 500, -1.4975, 2.4227, 0.7977, -1.5282, -2.2819, 1.3104, -1.5658, -1.7210, 1.2416
16, 35.0630, 13.8043, 10, 1.6764, 80, 500, -1.4977, 2.4227, 0.7975, -1.5344, -2.3171, 1.3233, -1.5749, -1.6564, 1.2317
17, 35.3171, 13.9044, 10, 1.6764, 80, 500, -1.4976, 2.4227, 0.7976, -1.5351, -2.2947, 1.3125, -1.5747, -1.6910, 1.2376
18, 52.0880, 20.5071, 10, 1.6764, 80, 500, -1.4977, 2.4226, 0.7976, -1.5377, -2.2316, 1.2895, -1.5827, -1.7735, 1.2570
19, 45.5633, 17.9383, 10, 1.6764, 80, 500, -1.4978, 2.4227, 0.7979, -1.5377, -2.2299, 1.2878, -1.5827, -1.7066, 1.2463
20, 44.6454, 17.5769, 10, 1.6764, 80, 500, -1.4976, 2.4226, 0.7977, -1.5330, -2.2788, 1.3018, -1.5757, -1.7839, 1.2568
21, 91.7824, 36.1348, 10, 1.6764, 80, 500, -1.4975, 2.4227, 0.7976, -1.5304, -2.2389, 1.2897, -1.5712, -1.9396, 1.2990
