trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 91.2735, 35.9344, 10, 1.6764, 80, 300, -0.4999, 2.3988, 0.8056, -1.3093, -0.1622, 1.1551, -1.2920, 0.0235, 1.1816
2, 84.8641, 33.4111, 10, 1.6764, 80, 300, -0.4999, 2.3988, 0.8057, -1.3052, -0.1582, 1.1599, -1.2824, 0.0408, 1.1850
3, 24.2386, 9.5428, 10, 1.6764, 80, 300, -0.5006, 2.3985, 0.8062, -1.3639, -0.2977, 1.2389, -1.2528, 0.1473, 1.1425
4, 29.4008, 11.5751, 10, 1.6764, 80, 300, -0.5000, 2.3989, 0.8053, -1.3423, -0.2446, 1.2090, -1.2773, 0.0562, 1.1783
5, 23.9798, 9.4408, 10, 1.6764, 80, 300, -0.5011, 2.3985, 0.8058, -1.3495, -0.2412, 1.2057, -1.2606, 0.1452, 1.1416
6, 31.1918, 12.2803, 10, 1.6764, 80, 300, -0.5002, 2.3989, 0.8052, -1.3432, -0.2271, 1.2015, -1.2778, 0.0897, 1.1670
7, 35.2674, 13.8848, 10, 1.6764, 80, 300, -0.5012, 2.3985, 0.8059, -1.3721, -0.3021, 1.2451, -1.1898, 0.3496, 1.0574
8, 29.9009, 11.7720, 10, 1.6764, 80, 300, -0.5000, 2.3989, 0.8054, -1.3478, -0.2430, 1.2115, -1.2763, 0.0883, 1.1771
9, 25.4168, 10.0066, 10, 1.6764, 80, 300, -0.5001, 2.3989, 0.8053, -1.3552, -0.2585, 1.2217, -1.2747, 0.0944, 1.1776
10, 44.7430, 17.6153, 10, 1.6764, 80, 300, -0.5002, 2.3989, 0.8052, -1.3481, -0.2221, 1.2044, -1.2940, 0.0671, 1.1913
