trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 60.2188, 23.7082, 10, 1.6764, 80, 400, -2.8866, 2.3995, 0.7918, -1.6298, -1.2856, 1.3157, -2.0165, 0.0496, 0.9149
2, 64.6111, 25.4375, 10, 1.6764, 80, 400, -2.8880, 2.4005, 0.7913, -1.6265, -1.2994, 1.3212, -2.0363, 0.1391, 0.8724
3, 53.5583, 21.0859, 10, 1.6764, 80, 400, -2.8874, 2.4004, 0.7916, -1.6346, -1.2623, 1.3007, -1.9073, -0.3461, 1.0438
4, 66.9514, 26.3588, 10, 1.6764, 80, 400, -2.8859, 2.3992, 0.7918, -1.6348, -1.2903, 1.3187, -2.0742, 0.2569, 0.8240
5, 62.1920, 24.4851, 10, 1.6764, 80, 400, -2.8840, 2.3972, 0.7914, -1.6330, -1.3002, 1.3215, -1.9778, -0.1187, 0.9568
6, 54.5589, 21.4799, 10, 1.6764, 80, 400, -2.8857, 2.3983, 0.7915, -1.6392, -1.2639, 1.3032, -1.9132, -0.3363, 1.0397
7, 55.0160, 21.6598, 10, 1.6764, 80, 400, -2.8876, 2.4005, 0.7918, -1.6428, -1.2780, 1.3122, -1.9401, -0.2856, 1.0257
8, 48.9992, 19.2910, 10, 1.6764, 80, 400, -2.8853, 2.4003, 0.7934, -1.6482, -1.2729, 1.3081, -1.9177, -0.4035, 1.0704
9, 58.4378, 23.0070, 10, 1.6764, 80, 400, -2.8886, 2.4003, 0.7899, -1.6444, -1.3084, 1.3254, -1.9798, -0.1507, 0.9802
10, 51.9024, 20.4340, 10, 1.6764, 80, 400, -2.8887, 2.4002, 0.7897, -1.6481, -1.2976, 1.3225, -1.9605, -0.2592, 1.0290
