trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 109.2844, 43.0253, 10, 1.6256, 80, 400, -1.4985, 2.4221, 0.7980, -1.5413, -1.2556, 1.1048, -1.4976, -0.4838, 0.7955
2, 87.6954, 34.5257, 10, 1.6256, 80, 400, -1.4990, 2.4218, 0.7975, -1.5403, -1.2440, 1.0991, -1.5146, -0.6592, 0.9047
3, 96.1313, 37.8470, 10, 1.6256, 80, 400, -1.4984, 2.4218, 0.7982, -1.5402, -1.2698, 1.1120, -1.5096, -0.6525, 0.8902
4, 96.8323, 38.1230, 10, 1.6256, 80, 400, -1.4984, 2.4219, 0.7980, -1.5314, -1.2228, 1.0758, -1.5046, -0.5800, 0.8466
5, 108.7236, 42.8046, 10, 1.6256, 80, 400, -1.4969, 2.4223, 0.7996, -1.5422, -1.2912, 1.1224, -1.4996, -0.5307, 0.8185
6, 102.6486, 40.4128, 10, 1.6256, 80, 400, -1.4985, 2.4219, 0.7979, -1.5399, -1.2900, 1.1219, -1.4954, -0.5075, 0.8246
7, 104.5177, 41.1487, 10, 1.6256, 80, 400, -1.4985, 2.4218, 0.7981, -1.5428, -1.2876, 1.1194, -1.5021, -0.5973, 0.8534
8, 105.1423, 41.3946, 10, 1.6256, 80, 400, -1.4985, 2.4217, 0.7982, -1.5345, -1.2467, 1.0919, -1.4948, -0.5260, 0.8151
9, 110.2365, 43.4002, 10, 1.6256, 80, 400, -1.4987, 2.4219, 0.7981, -1.5463, -1.3278, 1.1433, -1.4995, -0.5421, 0.8240
10, 101.8435, 40.0959, 10, 1.6256, 80, 400, -1.4985, 2.4221, 0.7981, -1.5364, -1.2740, 1.1080, -1.5006, -0.5699, 0.8434
