trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 35.1099, 13.8228, 10, 1.6764, 80, 200, -2.8866, 2.4001, 0.7906, -1.7307, 0.6331, 1.3018, -2.5005, 1.8707, 0.6883
2, 35.1577, 13.8416, 10, 1.6764, 80, 200, -2.8882, 2.4013, 0.7901, -1.7168, 0.6069, 1.3270, -2.7525, 2.2964, 0.4821
3, 25.5753, 10.0690, 10, 1.6764, 80, 200, -2.8857, 2.4011, 0.7907, -1.7313, 0.6380, 1.3015, -2.1884, 1.3365, 0.9911
4, 30.5328, 12.0208, 10, 1.6764, 80, 200, -2.8842, 2.4015, 0.7904, -1.7354, 0.6418, 1.2972, -2.4748, 1.7974, 0.7522
5, 29.4269, 11.5854, 10, 1.6764, 80, 200, -2.8870, 2.4025, 0.7903, -1.7296, 0.6288, 1.3098, -2.5027, 1.8740, 0.7343
6, 30.3386, 11.9443, 10, 1.6764, 80, 200, -2.8856, 2.4017, 0.7907, -1.7276, 0.6135, 1.3190, -2.5246, 1.8912, 0.7162
7, 27.0292, 10.6414, 10, 1.6764, 80, 200, -2.8832, 2.3989, 0.7902, -1.7365, 0.6326, 1.3036, -2.3413, 1.5840, 0.8743
8, 26.5375, 10.4479, 10, 1.6764, 80, 200, -2.8864, 2.4018, 0.7907, -1.7312, 0.6299, 1.3059, -2.3225, 1.5617, 0.8898
9, 23.7993, 9.3698, 10, 1.6764, 80, 200, -2.8859, 2.4013, 0.7908, -1.7299, 0.6296, 1.3031, -2.3655, 1.6289, 0.8754
10, 26.2371, 10.3296, 10, 1.6764, 80, 200, -2.8832, 2.3989, 0.7906, -1.7285, 0.6238, 1.3089, -2.3483, 1.5892, 0.8763
