trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 75.0433, 29.5446, 10, 1.6764, 80, 500, -2.8849, 2.3998, 0.7917, -1.6179, -2.3316, 1.3319, -1.8574, -1.4559, 1.0878
2, 69.1036, 27.2062, 10, 1.6764, 80, 500, -2.8849, 2.3998, 0.7916, -1.6391, -2.2266, 1.2784, -1.8827, -1.3572, 1.0528
3, 84.2598, 33.1731, 10, 1.6764, 80, 500, -2.8833, 2.3985, 0.7916, -1.6346, -2.2839, 1.3086, -2.0390, -0.7443, 0.8509
4, 86.2097, 33.9408, 10, 1.6764, 80, 500, -2.8867, 2.3997, 0.7917, -1.6330, -2.2880, 1.3075, -1.9542, -1.0564, 0.9369
5, 84.3234, 33.1982, 10, 1.6764, 80, 500, -2.8836, 2.3986, 0.7915, -1.6250, -2.3153, 1.3237, -1.9525, -1.0920, 0.9577
6, 61.6746, 24.2813, 10, 1.6764, 80, 500, -2.8831, 2.3987, 0.7919, -1.6384, -2.2432, 1.2871, -1.8282, -1.6058, 1.1329
7, 94.7499, 37.3031, 10, 1.6764, 80, 500, -2.8873, 2.4021, 0.7916, -1.6285, -2.3083, 1.3178, -2.1535, -0.2596, 0.6597
8, 85.9724, 33.8474, 10, 1.6764, 80, 500, -2.8837, 2.3986, 0.7919, -1.6242, -2.3280, 1.3258, -1.9450, -1.1533, 0.9701
9, 87.4127, 34.4145, 10, 1.6764, 80, 500, -2.8856, 2.4009, 0.7920, -1.6286, -2.2987, 1.3103, -1.9994, -0.9080, 0.8875
10, 90.5495, 35.6494, 10, 1.6764, 80, 500, -2.8864, 2.4017, 0.7920, -1.6228, -2.3218, 1.3233, -2.0240, -0.7672, 0.8386
11, 73.4807, 28.9294, 10, 1.6764, 80, 500, -2.8847, 2.4006, 0.7936, -1.6365, -2.2675, 1.2966, -1.8926, -1.3588, 1.0505
