trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 40.7095, 16.0274, 10, 1.6256, 80, 300, -2.8943, 2.4087, 0.1401, -1.5932, -0.3376, 1.2123, -1.8296, 0.3992, 0.9156
2, 133.2284, 52.4521, 10, 1.6256, 80, 300, -2.8986, 2.4355, 1.4379, -1.6071, -0.3174, 1.1968, -1.8514, 0.3906, 0.9144
3, 123.1798, 48.4960, 10, 1.6256, 80, 300, -2.8985, 2.4352, 1.4383, -1.6043, -0.2933, 1.1789, -1.8128, 0.3067, 0.9692
4, 28.8022, 11.3395, 10, 1.6256, 80, 300, -2.8946, 2.4094, 0.1393, -1.5546, -0.4728, 1.2877, -1.7284, -0.0607, 1.1646
5, 44.3057, 17.4432, 10, 1.6256, 80, 300, -2.8942, 2.4089, 0.1397, -1.6015, -0.3527, 1.2239, -1.8461, 0.4564, 0.9007
6, 42.3363, 16.6678, 10, 1.6256, 80, 300, -2.8946, 2.4090, 0.1392, -1.5721, -0.5216, 1.3434, -1.7837, 0.1700, 1.0417
7, 39.9648, 15.7342, 10, 1.6256, 80, 300, -2.8945, 2.4091, 0.1396, -1.6033, -0.3441, 1.2128, -1.8386, 0.3984, 0.9414
8, 44.7638, 17.6235, 10, 1.6256, 80, 300, -2.8943, 2.4087, 0.1398, -1.6076, -0.3507, 1.2199, -1.8767, 0.5527, 0.8679
9, 35.5240, 13.9858, 10, 1.6256, 80, 300, -2.8940, 2.4072, 0.1403, -1.6078, -0.3481, 1.2150, -1.8282, 0.3033, 0.9983
10, 86.5277, 34.0660, 10, 1.6256, 80, 300, -2.8993, 2.4127, 0.7856, -1.6044, -0.3688, 1.2351, -1.9131, 0.7347, 0.7764
