trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 47.9811, 18.8902, 10, 1.6764, 80, 100, -0.5031, 2.4047, 0.8051, -1.1071, 1.6692, 1.0630, -1.3226, 1.4934, 1.3185
2, 32.3208, 12.7247, 10, 1.6764, 80, 100, -0.5032, 2.4047, 0.8050, -0.9767, 1.8067, 0.9803, -1.3414, 1.4747, 1.3365
3, 56.0462, 22.0654, 10, 1.6764, 80, 100, -0.5032, 2.4047, 0.8051, -1.1861, 1.5982, 1.1367, -1.3339, 1.4839, 1.3311
4, 38.4633, 15.1430, 10, 1.6764, 80, 100, -0.5031, 2.4048, 0.8051, -1.0516, 1.7285, 1.0275, -1.3390, 1.4720, 1.3320
5, 25.4579, 10.0228, 10, 1.6764, 80, 100, -0.5031, 2.4047, 0.8053, -0.8749, 1.9273, 0.9087, -1.3536, 1.4614, 1.3441
6, 89.2331, 35.1311, 10, 1.6764, 80, 100, -0.5031, 2.4047, 0.8052, -1.3729, 1.3792, 1.2650, -1.3095, 1.5074, 1.3101
7, 31.7128, 12.4853, 10, 1.6764, 80, 100, -0.5031, 2.4048, 0.8050, -0.9272, 1.8480, 0.9372, -1.3410, 1.4713, 1.3347
8, 28.5109, 11.2248, 10, 1.6764, 80, 100, -0.5031, 2.4047, 0.8051, -0.9128, 1.8772, 0.9343, -1.3419, 1.4743, 1.3363
9, 25.8448, 10.1751, 10, 1.6764, 80, 100, -0.5032, 2.4046, 0.8053, -0.7643, 2.0259, 0.8108, -1.3485, 1.4669, 1.3367
10, 41.0727, 16.1703, 10, 1.6764, 80, 100, -0.5032, 2.4048, 0.8052, -1.1004, 1.6849, 1.0692, -1.3429, 1.4726, 1.3346
