trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 39.8686, 15.6963, 10, 1.6764, 80, 400, -1.4985, 2.4218, 0.7979, -1.5291, -1.3512, 1.3222, -1.5555, 0.5136, 0.8646
2, 26.5962, 10.4709, 10, 1.6764, 80, 400, -1.4984, 2.4218, 0.7979, -1.5264, -1.3442, 1.3156, -1.5492, -0.6072, 1.1696
3, 33.4218, 13.1582, 10, 1.6764, 80, 400, -1.4987, 2.4219, 0.7979, -1.5360, -1.3576, 1.3239, -1.5613, -0.3979, 1.1108
4, 26.2857, 10.3487, 10, 1.6764, 80, 400, -1.4986, 2.4218, 0.7981, -1.5370, -1.3737, 1.3284, -1.5623, -0.3172, 1.1157
5, 29.0009, 11.4177, 10, 1.6764, 80, 400, -1.4986, 2.4220, 0.7980, -1.5375, -1.3292, 1.3096, -1.5668, -0.4816, 1.1393
6, 29.5956, 11.6518, 10, 1.6764, 80, 400, -1.4984, 2.4219, 0.7977, -1.5412, -1.3973, 1.3427, -1.5690, -0.5731, 1.1717
7, 35.5411, 13.9926, 10, 1.6764, 80, 400, -1.4990, 2.4219, 0.7981, -1.5391, -1.3600, 1.3224, -1.5708, -0.1134, 1.0383
8, 30.5467, 12.0262, 10, 1.6764, 80, 400, -1.4984, 2.4218, 0.7980, -1.5401, -1.3494, 1.3170, -1.5729, -0.3678, 1.1137
9, 24.0778, 9.4794, 10, 1.6764, 80, 400, -1.4987, 2.4218, 0.7981, -1.5395, -1.3636, 1.3223, -1.5698, -0.5346, 1.1714
10, 23.6643, 9.3166, 10, 1.6764, 80, 400, -1.4985, 2.4218, 0.7979, -1.5413, -1.3537, 1.3179, -1.5661, -0.4966, 1.1578
