trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 43.7050, 17.2067, 10, 1.6256, 80, 300, -1.4977, 2.4226, 0.7979, -1.5081, -0.4769, 1.2319, -1.4214, 0.3938, 0.9941
2, 144.3491, 56.8303, 10, 1.6256, 80, 300, -1.4977, 2.4229, 0.7977, -1.3089, 0.9777, 0.1945, -1.5538, -0.1276, 1.1817
3, 139.2371, 54.8178, 10, 1.6256, 80, 300, -1.4976, 2.4226, 0.7979, -0.8034, 2.7988, -1.4446, -1.4666, 0.4389, 0.8250
4, 45.0238, 17.7259, 10, 1.6256, 80, 300, -1.4974, 2.4228, 0.7978, -1.4891, -0.3915, 1.1872, -1.4091, 0.4400, 0.9616
5, 51.5411, 20.2918, 10, 1.6256, 80, 300, -1.4978, 2.4228, 0.7977, -1.5036, -0.4455, 1.2225, -1.4056, 0.4775, 0.9412
6, 59.4648, 23.4113, 10, 1.6256, 80, 300, -1.4978, 2.4228, 0.7977, -1.4966, -0.4099, 1.2052, -1.3925, 0.4731, 0.9124
7, 121.0350, 47.6516, 10, 1.6256, 80, 300, -1.4975, 2.4228, 0.7976, 1.1997, 11.5298, -7.6600, -1.5266, 0.0349, 1.1774
8, 34.1482, 13.4442, 10, 1.6256, 80, 300, -1.4979, 2.4227, 0.7979, -1.5236, -0.3298, 1.1463, -1.4799, 0.5077, 0.9394
9, 46.1973, 18.1879, 10, 1.6256, 80, 300, -1.4977, 2.4227, 0.7976, -1.5419, -0.4552, 1.2154, -1.4692, 0.7401, 0.8483
10, 89.7501, 35.3347, 10, 1.6256, 80, 300, -1.4980, 2.4227, 0.7977, -1.5181, -0.3127, 1.1242, -1.3006, 3.4487, -0.6824
