trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 54.5907, 21.4924, 10, 1.6256, 80, 300, -1.4977, 2.4230, 0.7977, -1.5311, -0.4127, 1.1829, -1.5111, 0.2111, 0.9719
2, 56.0881, 22.0819, 10, 1.6256, 80, 300, -1.4975, 2.4227, 0.7982, -1.5283, -0.4075, 1.1857, -1.5056, 0.2240, 0.9677
3, 68.6911, 27.0438, 10, 1.6256, 80, 300, -1.4976, 2.4227, 0.7978, -1.5257, -0.4126, 1.1905, -1.4895, 0.3965, 0.8692
4, 61.1454, 24.0730, 10, 1.6256, 80, 300, -1.4974, 2.4229, 0.7977, -1.5230, -0.4120, 1.1804, -1.5037, 0.2234, 0.9494
5, 54.0942, 21.2969, 10, 1.6256, 80, 300, -1.4976, 2.4228, 0.7975, -1.5203, -0.4195, 1.1855, -1.5015, 0.2260, 0.9685
6, 68.8128, 27.0917, 10, 1.6256, 80, 300, -1.4974, 2.4229, 0.7976, -1.5220, -0.4220, 1.1975, -1.4822, 0.3718, 0.8817
7, 64.0465, 25.2152, 10, 1.6256, 80, 300, -1.4974, 2.4230, 0.7975, -1.5192, -0.4160, 1.1862, -1.4992, 0.2129, 0.9492
8, 63.5672, 25.0265, 10, 1.6256, 80, 300, -1.4977, 2.4230, 0.7975, -1.5197, -0.4152, 1.1860, -1.4959, 0.2561, 0.9346
9, 68.2767, 26.8806, 10, 1.6256, 80, 300, -1.4974, 2.4229, 0.7976, -1.5191, -0.4232, 1.1849, -1.4844, 0.3049, 0.9004
10, 63.9539, 25.1787, 10, 1.6256, 80, 300, -1.4977, 2.4227, 0.7978, -1.5200, -0.4150, 1.1795, -1.4939, 0.2300, 0.9389
11, 69.4648, 27.3484, 10, 1.6256, 80, 300, -1.4975, 2.4229, 0.7976, -1.5215, -0.4235, 1.1808, -1.4844, 0.3265, 0.8853
