trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 50.2720, 19.7921, 10, 1.6256, 80, 200, -1.4974, 2.4229, 0.7977, -1.4990, 0.6883, 1.0754, -1.4568, 1.3964, 0.7384
2, 48.8772, 19.2430, 10, 1.6256, 80, 200, -1.4974, 2.4229, 0.7978, -1.4984, 0.6989, 1.0705, -1.4595, 1.3174, 0.7829
3, 51.7981, 20.3930, 10, 1.6256, 80, 200, -1.4975, 2.4229, 0.7976, -1.5026, 0.6750, 1.0880, -1.4533, 1.4065, 0.7293
4, 46.2312, 18.2013, 10, 1.6256, 80, 200, -1.4975, 2.4230, 0.7975, -1.5027, 0.7045, 1.0753, -1.4689, 1.3385, 0.7881
5, 49.9210, 19.6539, 10, 1.6256, 80, 200, -1.4983, 2.4223, 0.7978, -1.5096, 0.6646, 1.1013, -1.4729, 1.3112, 0.7880
6, 104.9461, 41.3174, 10, 1.6256, 80, 200, -1.4976, 2.4230, 0.7978, -1.2998, 1.9639, -0.1632, -1.0308, 5.3232, -2.9297
7, 85.6569, 33.7232, 10, 1.6256, 80, 200, -1.4977, 2.4227, 0.7977, -1.5285, 1.1376, 0.8840, -1.4494, 1.8674, 0.1422
8, 56.0257, 22.0574, 10, 1.6256, 80, 200, -1.4980, 2.4230, 0.7978, -1.4987, 0.7084, 1.0591, -1.4519, 1.4673, 0.6680
9, 97.0358, 38.2031, 10, 1.6256, 80, 200, -1.4976, 2.4227, 0.7977, -1.3974, 1.3599, 0.4267, -1.1671, 4.3961, -2.0648
10, 54.7259, 21.5456, 10, 1.6256, 80, 200, -1.4976, 2.4228, 0.7976, -1.5089, 0.6661, 1.0986, -1.4564, 1.4810, 0.6767
