trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 88.8399, 34.9764, 10, 1.6764, 80, 500, -2.8876, 2.4006, 0.7915, -1.6057, -2.3112, 1.2982, -1.9243, -1.0123, 0.9083
2, 82.3835, 32.4345, 10, 1.6764, 80, 500, -2.8867, 2.4022, 0.7919, -1.6041, -2.3099, 1.2963, -1.8363, -1.4054, 1.0369
3, 97.1526, 38.2491, 10, 1.6764, 80, 500, -2.8859, 2.4010, 0.7920, -1.5957, -2.3617, 1.3257, -2.0556, -0.4186, 0.7031
4, 91.6040, 36.0646, 10, 1.6764, 80, 500, -2.8855, 2.3996, 0.7917, -1.6000, -2.3390, 1.3109, -2.0208, -0.6763, 0.7968
5, 93.7568, 36.9121, 10, 1.6764, 80, 500, -2.8750, 2.3963, 0.7950, -1.5938, -2.3734, 1.3299, -2.0233, -0.6113, 0.7760
6, 88.8623, 34.9852, 10, 1.6764, 80, 500, -2.8750, 2.3962, 0.7950, -1.5969, -2.3732, 1.3293, -2.0272, -0.6564, 0.8070
7, 97.4693, 38.3737, 10, 1.6764, 80, 500, -2.8880, 2.4009, 0.7915, -1.5985, -2.3693, 1.3280, -2.0449, -0.5018, 0.7268
8, 80.3888, 31.6491, 10, 1.6764, 80, 500, -2.8841, 2.3976, 0.7912, -1.6062, -2.3176, 1.3006, -1.8798, -1.2283, 0.9930
9, 91.8740, 36.1709, 10, 1.6764, 80, 500, -2.8854, 2.4009, 0.7921, -1.6037, -2.3379, 1.3081, -1.9286, -1.0111, 0.8998
10, 93.4604, 36.7954, 10, 1.6764, 80, 500, -2.8871, 2.4018, 0.7916, -1.6039, -2.3329, 1.3049, -1.9895, -0.7402, 0.8104
