trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 97.5479, 38.4047, 10, 1.6256, 80, 500, -1.4934, 2.4204, 0.7949, -1.4418, -2.1999, 1.1952, -1.4863, -1.9296, 1.2121
2, 210.0598, 82.7007, 10, 1.6256, 80, 500, -1.4933, 2.4203, 0.7949, -1.4508, -2.1850, 1.1872, 1.2488, 10.6634, -6.1562
3, 102.9700, 40.5394, 10, 1.6256, 80, 500, -1.4933, 2.4203, 0.7953, -1.4909, -2.3398, 1.2830, -1.5206, -2.1427, 1.2941
4, 17.1563, 6.7545, 10, 1.6256, 80, 500, -1.4932, 2.4203, 0.7950, -1.4460, -2.2162, 1.2068, -1.4556, -1.7464, 1.1482
5, 314.0031, 123.6233, 10, 1.6256, 80, 500, -1.4935, 2.4203, 0.7950, -1.5037, -2.2640, 1.2457, -1.5351, -2.3399, 1.3206
6, 23.0035, 9.0565, 10, 1.6256, 80, 500, -1.4933, 2.4203, 0.7951, -1.4378, -2.1875, 1.1872, -1.4621, -1.7876, 1.1577
7, 16.8645, 6.6396, 10, 1.6256, 80, 500, -1.4933, 2.4203, 0.7950, -1.4465, -2.2071, 1.1991, -1.4588, -1.7323, 1.1419
8, 38.2864, 15.0734, 10, 1.6256, 80, 500, -1.4932, 2.4203, 0.7948, -1.4544, -2.2310, 1.2148, -1.4443, -1.6537, 1.1169
