trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 48.0896, 18.9329, 10, 1.6764, 80, 300, -1.4977, 2.4226, 0.7976, -1.5312, -0.3663, 1.3110, -1.6080, 0.3724, 1.2693
2, 48.0646, 18.9231, 10, 1.6764, 80, 300, -1.4979, 2.4227, 0.7978, -1.5305, -0.3648, 1.3080, -1.6012, 0.3294, 1.2711
3, 39.9615, 15.7329, 10, 1.6764, 80, 300, -1.4981, 2.4228, 0.7979, -1.5318, -0.3606, 1.3097, -1.6288, 0.6462, 1.2193
4, 29.7873, 11.7273, 10, 1.6764, 80, 300, -1.4981, 2.4228, 0.7980, -1.5331, -0.3759, 1.3135, -1.6436, 0.8742, 1.1258
5, 145.6323, 57.3355, 10, 1.6764, 80, 300, -1.4980, 2.4228, 0.7980, -1.6447, -0.0113, 1.3383, -1.6477, 0.0452, 1.2761
6, 281.3452, 110.7658, 10, 1.6764, 80, 300, -1.4976, 2.4227, 0.7977, -1.5365, -0.3494, 1.3000, -1.5657, -0.3289, 1.3836
7, 42.5567, 16.7546, 10, 1.6764, 80, 300, -1.4980, 2.4230, 0.7976, -1.5338, -0.3807, 1.3125, -1.6040, 0.3951, 1.2564
8, 48.2754, 19.0061, 10, 1.6764, 80, 300, -1.4974, 2.4228, 0.7977, -1.5334, -0.3695, 1.3069, -1.6036, 0.3291, 1.2707
9, 166.4994, 65.5510, 10, 1.6764, 80, 300, -1.4975, 2.4227, 0.7978, -1.5335, -0.3888, 1.3157, -1.5659, -0.2579, 1.3707
10, 44.4613, 17.5044, 10, 1.6764, 80, 300, -1.4977, 2.4226, 0.7977, -1.5332, -0.3861, 1.3125, -1.6027, 0.3674, 1.2638
