trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 49.8743, 19.6356, 10, 1.6256, 80, 500, -2.8938, 2.4090, 0.1398, -1.5355, -2.2778, 1.1586, -1.6781, -1.6919, 0.9742
2, 59.9482, 23.6017, 10, 1.6256, 80, 500, -2.8939, 2.4091, 0.1415, -1.5364, -2.2885, 1.1669, -1.6868, -1.6640, 0.9548
3, 56.0071, 22.0500, 10, 1.6256, 80, 500, -2.8938, 2.4090, 0.1397, -1.5366, -2.2956, 1.1761, -1.6903, -1.6562, 0.9640
4, 76.5774, 30.1486, 10, 1.6256, 80, 500, -2.8936, 2.4088, 0.1401, -1.5358, -2.3032, 1.1827, -1.7054, -1.5416, 0.8970
5, 73.4802, 28.9292, 10, 1.6256, 80, 500, -2.8932, 2.4076, 0.1401, -1.5342, -2.3042, 1.1838, -1.6969, -1.5821, 0.9175
6, 136.2173, 53.6289, 10, 1.6256, 80, 500, -2.8990, 2.4119, 0.7876, -1.5338, -2.3047, 1.1804, -1.7031, -1.5129, 0.8836
7, 80.5389, 31.7082, 10, 1.6256, 80, 500, -2.8937, 2.4087, 0.1401, -1.5314, -2.3210, 1.1948, -1.7159, -1.4317, 0.8588
8, 62.6079, 24.6488, 10, 1.6256, 80, 500, -2.8933, 2.4075, 0.1400, -1.5319, -2.3244, 1.1959, -1.6922, -1.6100, 0.9516
9, 77.5375, 30.5266, 10, 1.6256, 80, 500, -2.8942, 2.4091, 0.1397, -1.5281, -2.3205, 1.1944, -1.6988, -1.4730, 0.8848
10, 56.8114, 22.3667, 10, 1.6256, 80, 500, -2.8938, 2.4091, 0.1396, -1.5279, -2.3194, 1.1880, -1.6855, -1.5993, 0.9571
