trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 74.3565, 29.2742, 10, 1.6256, 80, 300, -1.4974, 2.4229, 0.7976, -1.6553, 0.0967, 1.1035, -1.6539, 0.0206, 1.1395
2, 50.2876, 19.7983, 10, 1.6256, 80, 300, -1.4973, 2.4229, 0.7977, -1.5591, -0.4800, 1.3015, -1.5873, -0.1644, 1.2889
3, 41.3358, 16.2739, 10, 1.6256, 80, 300, -1.4976, 2.4227, 0.7977, -1.5651, -0.4860, 1.3027, -1.5947, -0.1130, 1.2746
4, 40.5286, 15.9561, 10, 1.6256, 80, 300, -1.4974, 2.4228, 0.7978, -1.5730, -0.4855, 1.3023, -1.5993, -0.1414, 1.2751
5, 142.3942, 56.0607, 10, 1.6256, 80, 300, -1.4976, 2.4229, 0.7977, -1.5852, 0.4207, 0.7191, -1.6534, -0.3285, 1.4187
6, 110.0152, 43.3131, 10, 1.6256, 80, 300, -1.4976, 2.4226, 0.7979, -1.6757, 0.7221, 0.6663, -1.6532, -0.3291, 1.4004
7, 28.3871, 11.1760, 10, 1.6256, 80, 300, -1.4977, 2.4227, 0.7977, -1.5615, -0.4859, 1.2957, -1.6007, 0.1601, 1.2187
8, 31.7286, 12.4916, 10, 1.6256, 80, 300, -1.4975, 2.4228, 0.7977, -1.5607, -0.4864, 1.2990, -1.6021, 0.0591, 1.2315
9, 31.4443, 12.3796, 10, 1.6256, 80, 300, -1.4974, 2.4229, 0.7976, -1.5593, -0.5003, 1.3032, -1.6012, 0.0803, 1.2337
10, 33.9627, 13.3711, 10, 1.6256, 80, 300, -1.4973, 2.4229, 0.7975, -1.5592, -0.5075, 1.2970, -1.5986, -0.0165, 1.2409
11, 37.1378, 14.6212, 10, 1.6256, 80, 300, -1.4976, 2.4230, 0.7977, -1.5586, -0.5051, 1.2999, -1.5919, -0.1016, 1.2604
12, 38.8822, 15.3079, 10, 1.6256, 80, 300, -1.4976, 2.4227, 0.7976, -1.5577, -0.4920, 1.2922, -1.5868, -0.1364, 1.2622
13, 31.8994, 12.5588, 10, 1.6256, 80, 300, -1.4973, 2.4230, 0.7976, -1.5547, -0.4980, 1.2967, -1.5888, -0.0214, 1.2439
14, 40.0597, 15.7715, 10, 1.6256, 80, 300, -1.4978, 2.4228, 0.7978, -1.5521, -0.4976, 1.2998, -1.5894, -0.0440, 1.2640
15, 47.2935, 18.6195, 10, 1.6256, 80, 300, -1.4983, 2.4223, 0.7978, -1.5492, -0.4927, 1.2931, -1.5789, -0.1524, 1.2775
16, 43.8712, 17.2721, 10, 1.6256, 80, 300, -1.4973, 2.4229, 0.7976, -1.5450, -0.4954, 1.2969, -1.5757, -0.0916, 1.2757
17, 36.0887, 14.2082, 10, 1.6256, 80, 300, -1.4973, 2.4230, 0.7975, -1.5460, -0.4959, 1.2944, -1.5763, -0.0522, 1.2588
18, 33.5529, 13.2098, 10, 1.6256, 80, 300, -1.4973, 2.4229, 0.7977, -1.5454, -0.4874, 1.2918, -1.5797, -0.0016, 1.2459
19, 32.5529, 12.8161, 10, 1.6256, 80, 300, -1.4976, 2.4227, 0.7977, -1.5413, -0.4945, 1.2920, -1.5745, -0.0557, 1.2464
20, 33.1211, 13.0398, 10, 1.6256, 80, 300, -1.4974, 2.4228, 0.7977, -1.5418, -0.4993, 1.2938, -1.5825, 0.0684, 1.2387
