trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 14.3753, 5.6596, 10, 1.6764, 80, 200, -1.4978, 2.4227, 0.7978, -1.5068, 0.7444, 1.2059, -1.5292, 1.0623, 1.1414
2, 10.1920, 4.0126, 10, 1.6764, 80, 200, -1.4975, 2.4227, 0.7977, -1.5081, 0.7207, 1.2265, -1.5285, 1.1104, 1.1334
3, 13.0112, 5.1225, 10, 1.6764, 80, 200, -1.4978, 2.4227, 0.7978, -1.5123, 0.7067, 1.2362, -1.5329, 1.0440, 1.1601
4, 22.3458, 8.7976, 10, 1.6764, 80, 200, -1.4978, 2.4228, 0.7977, -1.5102, 0.7467, 1.2074, -1.5394, 1.0492, 1.1586
5, 12.1843, 4.7970, 10, 1.6764, 80, 200, -1.4978, 2.4227, 0.7979, -1.5160, 0.6649, 1.2592, -1.5327, 1.1889, 1.0911
6, 15.6980, 6.1803, 10, 1.6764, 80, 200, -1.4976, 2.4226, 0.7976, -1.5113, 0.7145, 1.2280, -1.5351, 1.0451, 1.1597
7, 12.6195, 4.9683, 10, 1.6764, 80, 200, -1.4978, 2.4227, 0.7978, -1.5186, 0.6523, 1.2690, -1.5336, 1.1939, 1.0908
8, 92.8512, 36.5556, 10, 1.6764, 80, 200, -1.4977, 2.4227, 0.7981, -1.5087, 0.8118, 1.1668, -1.5418, 0.9380, 1.2089
9, 72.3220, 28.4732, 10, 1.6764, 80, 200, -1.4975, 2.4226, 0.7978, -1.5106, 0.7254, 1.2108, -1.5389, 0.8742, 1.2323
10, 23.3660, 9.1992, 10, 1.6764, 80, 200, -1.4979, 2.4227, 0.7979, -1.5142, 0.7189, 1.2202, -1.5407, 1.0065, 1.1755
