trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 182.3923, 71.8080, 10, 1.6764, 80, 300, -0.4998, 2.3989, 0.8046, -1.3368, -0.2843, 1.2287, -1.3313, -0.1768, 1.2880
2, 111.2023, 43.7804, 10, 1.6764, 80, 300, -0.5010, 2.3986, 0.8050, -1.3237, -0.2544, 1.2067, -1.2989, -0.0836, 1.2477
3, 17.2981, 6.8103, 10, 1.6764, 80, 300, -0.4999, 2.3989, 0.8044, -1.3631, -0.3457, 1.2594, -1.2656, 0.0087, 1.2190
4, 257.7116, 101.4613, 10, 1.6764, 80, 300, -0.5009, 2.3986, 0.8051, -1.3447, -0.3004, 1.2318, -1.3561, -0.2427, 1.3039
5, 78.4787, 30.8971, 10, 1.6764, 80, 300, -0.5008, 2.3987, 0.8049, -1.3558, -0.3234, 1.2391, -1.3191, -0.1365, 1.2585
6, 154.5580, 60.8496, 10, 1.6764, 80, 300, -0.5010, 2.3986, 0.8050, -1.3462, -0.3051, 1.2301, -1.3365, -0.1801, 1.2796
7, 16.8690, 6.6414, 10, 1.6764, 80, 300, -0.5010, 2.3986, 0.8051, -1.3500, -0.2984, 1.2403, -1.2530, 0.0694, 1.1957
8, 21.5085, 8.4679, 10, 1.6764, 80, 300, -0.5009, 2.3985, 0.8052, -1.3538, -0.3138, 1.2397, -1.1398, 0.3813, 1.0723
9, 10.8303, 4.2639, 10, 1.6764, 80, 300, -0.5000, 2.3989, 0.8047, -1.3521, -0.3120, 1.2398, -1.2272, 0.1366, 1.1594
10, 10.5398, 4.1495, 10, 1.6764, 80, 300, -0.5010, 2.3986, 0.8050, -1.3623, -0.3450, 1.2538, -1.2027, 0.2102, 1.1474
