trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 88.3426, 34.7806, 10, 1.6256, 80, 500, -1.4974, 2.4228, 0.7977, -1.5555, -2.4981, 1.3198, -1.5976, -2.0992, 1.3321
2, 82.3604, 32.4254, 10, 1.6256, 80, 500, -1.4974, 2.4229, 0.7975, -1.5522, -2.5078, 1.3244, -1.5832, -2.1612, 1.3339
3, 82.9381, 32.6528, 10, 1.6256, 80, 500, -1.4977, 2.4226, 0.7977, -1.5506, -2.5139, 1.3287, -1.5899, -2.0271, 1.3452
4, 102.9802, 40.5434, 10, 1.6256, 80, 500, -1.4976, 2.4227, 0.7977, -1.5519, -2.5077, 1.3285, -1.5947, -2.1219, 1.3531
5, 90.0791, 35.4642, 10, 1.6256, 80, 500, -1.4975, 2.4230, 0.7977, -1.5457, -2.5070, 1.3216, -1.5827, -2.1357, 1.3368
6, 83.2826, 32.7884, 10, 1.6256, 80, 500, -1.4976, 2.4227, 0.7977, -1.5489, -2.5079, 1.3236, -1.5979, -2.0471, 1.3311
7, 81.7722, 32.1938, 10, 1.6256, 80, 500, -1.4974, 2.4230, 0.7974, -1.5479, -2.5224, 1.3279, -1.5849, -2.1236, 1.3370
8, 80.2476, 31.5935, 10, 1.6256, 80, 500, -1.4978, 2.4228, 0.7977, -1.5501, -2.5049, 1.3228, -1.5916, -2.1097, 1.3264
9, 89.7466, 35.3333, 10, 1.6256, 80, 500, -1.4973, 2.4229, 0.7975, -1.5472, -2.5030, 1.3246, -1.5812, -2.1548, 1.3389
10, 391.5720, 154.1622, 10, 1.6256, 80, 500, -1.4974, 2.4230, 0.7974, -1.6276, -2.2692, 1.4107, -1.6309, -2.2543, 1.3816
11, 75.9592, 29.9052, 10, 1.6256, 80, 500, -1.4976, 2.4230, 0.7976, -1.5393, -2.5231, 1.3304, -1.5819, -2.0215, 1.3377
12, 377.6681, 148.6882, 10, 1.6256, 80, 500, -1.4976, 2.4227, 0.7976, -1.6233, -2.3020, 1.4230, -1.6253, -2.2834, 1.3912
13, 96.2544, 37.8954, 10, 1.6256, 80, 500, -1.4975, 2.4228, 0.7976, -1.5408, -2.5135, 1.3248, -1.5778, -2.1739, 1.3418
14, 86.9483, 34.2316, 10, 1.6256, 80, 500, -1.4975, 2.4230, 0.7977, -1.5428, -2.5062, 1.3258, -1.5846, -2.1000, 1.3380
15, 77.3414, 30.4494, 10, 1.6256, 80, 500, -1.4977, 2.4227, 0.7978, -1.5429, -2.4990, 1.3219, -1.5771, -2.1333, 1.3267
16, 86.4931, 34.0524, 10, 1.6256, 80, 500, -1.4976, 2.4230, 0.7978, -1.5435, -2.5033, 1.3220, -1.5856, -2.0600, 1.3378
17, 89.9855, 35.4274, 10, 1.6256, 80, 500, -1.4973, 2.4229, 0.7976, -1.5502, -2.5147, 1.3237, -1.5917, -2.1367, 1.3355
18, 80.8364, 31.8253, 10, 1.6256, 80, 500, -1.4974, 2.4228, 0.7977, -1.5479, -2.5128, 1.3251, -1.5859, -2.0804, 1.3359
19, 74.8416, 29.4652, 10, 1.6256, 80, 500, -1.4973, 2.4230, 0.7975, -1.5482, -2.5082, 1.3238, -1.5859, -2.0686, 1.3288
20, 193.3883, 76.1371, 10, 1.6256, 80, 500, -1.4976, 2.4227, 0.7978, -1.6489, -1.9795, 1.2039, -1.6351, -2.3126, 1.4032
