trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
11, 17.4819, 6.8826, 10, 1.6764, 80, 200, -1.4977, 2.4227, 0.7975, -1.5202, 0.5708, 1.2859, -1.5317, 1.8625, 0.8188
12, 15.9931, 6.2965, 10, 1.6764, 80, 200, -1.4978, 2.4225, 0.7977, -1.5204, 0.5639, 1.2920, -1.5296, 1.6783, 0.8967
13, 15.1851, 5.9784, 10, 1.6764, 80, 200, -1.4978, 2.4228, 0.7976, -1.5206, 0.5648, 1.2897, -1.5425, 1.4850, 0.9743
14, 15.7260, 6.1913, 10, 1.6764, 80, 200, -1.4987, 2.4220, 0.7978, -1.5170, 0.5832, 1.2751, -1.5367, 1.6269, 0.9151
15, 22.2799, 8.7716, 10, 1.6764, 80, 200, -1.4977, 2.4226, 0.7977, -1.5207, 0.5477, 1.3003, -1.5439, 3.4009, 0.1762
16, 19.1978, 7.5582, 10, 1.6764, 80, 200, -1.4976, 2.4226, 0.7977, -1.5218, 0.5568, 1.2894, -1.5542, 1.8346, 0.8223
17, 16.6292, 6.5469, 10, 1.6764, 80, 200, -1.4979, 2.4227, 0.7978, -1.5221, 0.5718, 1.2793, -1.5543, 1.5404, 0.9480
18, 19.5242, 7.6867, 10, 1.6764, 80, 200, -1.4986, 2.4220, 0.7978, -1.5222, 0.5646, 1.2878, -1.5509, 1.8927, 0.7964
19, 14.4328, 5.6822, 10, 1.6764, 80, 200, -1.4974, 2.4228, 0.7976, -1.5199, 0.5782, 1.2736, -1.5508, 1.2757, 1.0534
20, 17.9872, 7.0816, 10, 1.6764, 80, 200, -1.4977, 2.4227, 0.7976, -1.5185, 0.5687, 1.2795, -1.5514, 1.7940, 0.8446
