trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 19.1293, 7.5312, 10, 1.6256, 80, 100, -2.8973, 2.4099, 0.7871, -1.8527, 1.6774, 1.1415, -2.1029, 1.8924, 1.0090
2, 54.0202, 21.2678, 10, 1.6256, 80, 100, -2.8991, 2.4356, 1.4377, -1.8954, 1.7447, 1.0645, -2.1513, 1.8858, 1.0265
3, 56.4449, 22.2224, 10, 1.6256, 80, 100, -2.8933, 2.4093, 0.1391, -1.8734, 1.7212, 1.0862, -2.1959, 1.9366, 0.9730
4, 74.7410, 29.4256, 10, 1.6256, 80, 100, -2.8987, 2.4347, 1.4381, -1.8720, 1.7126, 1.0880, -2.2523, 1.9796, 0.9242
5, 65.5455, 25.8053, 10, 1.6256, 80, 100, -2.8985, 2.4347, 1.4379, -1.9049, 1.7692, 1.0450, -2.0891, 1.7972, 1.0414
6, 29.3688, 11.5625, 10, 1.6256, 80, 100, -2.8933, 2.4094, 0.1418, -2.1707, 1.9373, 0.8311, -2.0185, 1.7426, 1.0794
7, 58.3990, 22.9917, 10, 1.6256, 80, 100, -2.8974, 2.4098, 0.7872, -1.7722, 1.5050, 1.3792, -2.0760, 1.8061, 0.9703
8, 79.7607, 31.4018, 10, 1.6256, 80, 100, -2.8986, 2.4353, 1.4377, -1.8804, 1.7666, 1.0392, -2.0188, 1.7490, 1.1152
9, 74.2172, 29.2194, 10, 1.6256, 80, 100, -2.8987, 2.4354, 1.4378, -1.8315, 1.6744, 1.1410, -2.2379, 2.0066, 0.9441
10, 76.3232, 30.0485, 10, 1.6256, 80, 100, -2.8986, 2.4353, 1.4379, -1.8326, 1.6781, 1.1355, -2.2531, 2.0237, 0.9221
11, 86.6746, 34.1238, 10, 1.6256, 80, 100, -2.8986, 2.4348, 1.4380, -1.8220, 1.6555, 1.1614, -2.1324, 1.9657, 0.9385
