trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 379.8973, 149.5659, 10, 1.6764, 80, 500, -1.4974, 2.4229, 0.7975, -2.1516, -2.5635, 0.9382, -2.1984, -2.5945, 0.9380
2, 79.9092, 31.4603, 10, 1.6764, 80, 500, -1.4975, 2.4228, 0.7975, -1.5589, -2.3732, 1.3416, -1.6724, -1.3244, 1.3436
3, 111.4130, 43.8634, 10, 1.6764, 80, 500, -1.4974, 2.4229, 0.7977, -1.5618, -2.3701, 1.3401, -1.6417, -1.7644, 1.3831
4, 86.7528, 34.1546, 10, 1.6764, 80, 500, -1.4976, 2.4230, 0.7977, -1.5607, -2.3550, 1.3347, -1.6764, -1.3557, 1.3512
5, 73.7258, 29.0259, 10, 1.6764, 80, 500, -1.4978, 2.4229, 0.7974, -1.5608, -2.2833, 1.2960, -1.8280, -0.3844, 1.0209
6, 98.6019, 38.8196, 10, 1.6764, 80, 500, -1.4976, 2.4228, 0.7974, -1.5544, -2.3530, 1.3366, -1.6472, -1.5884, 1.3721
7, 95.0182, 37.4087, 10, 1.6764, 80, 500, -1.4982, 2.4224, 0.7978, -1.5530, -2.3715, 1.3437, -1.6502, -1.6132, 1.3653
8, 177.6802, 69.9528, 10, 1.6764, 80, 500, -1.4974, 2.4229, 0.7976, -1.6663, -1.9117, 1.3427, -1.6945, -1.6681, 1.2031
9, 122.1233, 48.0801, 10, 1.6764, 80, 500, -1.4976, 2.4229, 0.7976, -1.5496, -2.3692, 1.3423, -1.6291, -1.7520, 1.4060
10, 102.2823, 40.2686, 10, 1.6764, 80, 500, -1.4977, 2.4228, 0.7975, -1.5533, -2.4061, 1.3520, -1.6494, -1.6149, 1.3930
11, 113.0143, 44.4938, 10, 1.6764, 80, 500, -1.4974, 2.4230, 0.7974, -1.5572, -2.3723, 1.3390, -1.6513, -1.6309, 1.3982
