trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 30.7175, 12.0935, 10, 1.6256, 80, 400, -1.4983, 2.4221, 0.7980, -1.5211, -1.2691, 1.1660, -1.5425, -0.4654, 1.0233
2, 39.5551, 15.5729, 10, 1.6256, 80, 400, -1.4984, 2.4219, 0.7981, -1.5157, -1.2985, 1.1743, -1.5149, -0.3883, 0.9835
3, 27.7440, 10.9228, 10, 1.6256, 80, 400, -1.4986, 2.4220, 0.7981, -1.5125, -1.2942, 1.1712, -1.5132, -0.5135, 1.0338
4, 39.4441, 15.5292, 10, 1.6256, 80, 400, -1.4983, 2.4220, 0.7979, -1.5198, -1.3290, 1.1956, -1.5190, -0.3716, 0.9913
5, 34.7764, 13.6915, 10, 1.6256, 80, 400, -1.4986, 2.4220, 0.7981, -1.5205, -1.3736, 1.2124, -1.5178, -0.4934, 1.0341
6, 28.4894, 11.2163, 10, 1.6256, 80, 400, -1.4984, 2.4219, 0.7982, -1.5181, -1.4072, 1.2294, -1.5248, -0.6440, 1.0867
7, 101.7649, 40.0649, 10, 1.6256, 80, 400, -1.4982, 2.4221, 0.7980, -1.5080, -1.2397, 1.1560, -1.3895, 1.9350, -0.0971
8, 34.3145, 13.5096, 10, 1.6256, 80, 400, -1.4983, 2.4220, 0.7978, -1.5214, -1.4049, 1.2320, -1.5271, -0.6103, 1.0699
9, 92.4903, 36.4135, 10, 1.6256, 80, 400, -1.4986, 2.4219, 0.7983, -1.5114, -1.2748, 1.1736, -1.4583, 0.7086, 0.4455
10, 37.6138, 14.8086, 10, 1.6256, 80, 400, -1.4983, 2.4220, 0.7981, -1.5074, -1.4018, 1.2314, -1.5122, -0.6551, 1.0720
