trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 22.0390, 8.6768, 10, 1.6764, 80, 300, -2.8862, 2.4011, 0.7922, -1.6469, -0.3324, 1.3176, -2.0692, 0.6570, 1.0517
2, 132.9715, 52.3510, 10, 1.6764, 80, 300, -2.8859, 2.4009, 0.7922, -20.3854, 55.6182, -46.2728, -1.8464, -0.0734, 1.2689
3, 31.1226, 12.2530, 10, 1.6764, 80, 300, -2.8872, 2.4019, 0.7920, -1.6449, -0.3558, 1.3278, -2.2513, 1.1036, 0.8858
4, 28.5469, 11.2389, 10, 1.6764, 80, 300, -2.8858, 2.4010, 0.7921, -1.6518, -0.3394, 1.3191, -2.0956, 0.6995, 1.0121
5, 16.1148, 6.3444, 10, 1.6764, 80, 300, -2.8865, 2.4017, 0.7920, -1.6532, -0.3361, 1.3161, -1.9516, 0.3399, 1.1468
6, 20.1432, 7.9304, 10, 1.6764, 80, 300, -2.8880, 2.4009, 0.7914, -1.6430, -0.3725, 1.3370, -2.0578, 0.6088, 1.0772
7, 22.3049, 8.7815, 10, 1.6764, 80, 300, -2.8857, 2.3988, 0.7916, -1.6471, -0.3692, 1.3332, -2.0150, 0.5003, 1.0958
8, 28.5044, 11.2222, 10, 1.6764, 80, 300, -2.8868, 2.4016, 0.7915, -1.6565, -0.3456, 1.3174, -2.1172, 0.7295, 0.9999
9, 26.8580, 10.5740, 10, 1.6764, 80, 300, -2.8869, 2.3998, 0.7917, -1.6513, -0.3573, 1.3258, -2.1060, 0.7227, 1.0144
10, 24.2358, 9.5417, 10, 1.6764, 80, 300, -2.8845, 2.3996, 0.7931, -1.6542, -0.3509, 1.3213, -2.0483, 0.5551, 1.0667
