trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 46.9112, 18.4690, 10, 1.6764, 80, 400, -0.5052, 2.4040, 0.8063, -1.4308, -1.3218, 1.2992, -1.3790, -0.9765, 1.2814
2, 79.7056, 31.3801, 10, 1.6764, 80, 400, -0.5051, 2.4040, 0.8060, -1.4173, -1.2905, 1.2868, -1.3878, -1.0455, 1.2978
3, 143.6906, 56.5711, 10, 1.6764, 80, 400, -0.5052, 2.4040, 0.8062, -1.4149, -1.2741, 1.2755, -1.4061, -1.0994, 1.3131
4, 66.7264, 26.2702, 10, 1.6764, 80, 400, -0.5052, 2.4040, 0.8061, -1.4205, -1.2829, 1.2816, -1.3855, -0.9899, 1.2813
5, 100.5446, 39.5845, 10, 1.6764, 80, 400, -0.5052, 2.4040, 0.8063, -1.4138, -1.2663, 1.2718, -1.3933, -1.0474, 1.2937
6, 20.3499, 8.0118, 10, 1.6764, 80, 400, -0.5050, 2.4040, 0.8063, -1.4386, -1.3584, 1.3094, -1.3233, -0.7831, 1.2176
7, 79.2863, 31.2151, 10, 1.6764, 80, 400, -0.5052, 2.4040, 0.8061, -1.4238, -1.3010, 1.2858, -1.3959, -1.0649, 1.2955
8, 137.8876, 54.2865, 10, 1.6764, 80, 400, -0.5051, 2.4040, 0.8063, -1.4079, -1.2550, 1.2624, -1.3997, -1.0781, 1.2977
9, 72.8823, 28.6938, 10, 1.6764, 80, 400, -0.5051, 2.4040, 0.8061, -1.4186, -1.2848, 1.2809, -1.3840, -1.0004, 1.2877
10, 52.0700, 20.5000, 10, 1.6764, 80, 400, -0.5054, 2.4039, 0.8065, -1.4268, -1.3144, 1.2936, -1.3762, -0.9733, 1.2830
11, 99.2253, 39.0651, 10, 1.6764, 80, 400, -0.5051, 2.4039, 0.8064, -1.4146, -1.2842, 1.2847, -1.3904, -1.0466, 1.3078
