trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 26.3671, 10.3807, 10, 1.6764, 80, 200, -2.8837, 2.4012, 0.7921, -1.7412, 0.6793, 1.2616, -2.1821, 1.3318, 0.9760
2, 33.3820, 13.1425, 10, 1.6764, 80, 200, -2.8833, 2.3989, 0.7902, -1.7367, 0.6643, 1.2765, -2.3782, 1.6390, 0.8014
3, 28.4234, 11.1903, 10, 1.6764, 80, 200, -2.8857, 2.4010, 0.7909, -1.7570, 0.7020, 1.2477, -2.2493, 1.4327, 0.9195
4, 26.8663, 10.5773, 10, 1.6764, 80, 200, -2.8856, 2.4012, 0.7908, -1.7559, 0.6989, 1.2545, -2.2144, 1.3827, 0.9524
5, 30.7700, 12.1142, 10, 1.6764, 80, 200, -2.8846, 2.4005, 0.7908, -1.7585, 0.7010, 1.2508, -2.3011, 1.5087, 0.8739
6, 24.1078, 9.4913, 10, 1.6764, 80, 200, -2.8859, 2.4030, 0.7922, -1.7946, 0.7660, 1.2020, -2.1793, 1.3126, 0.9781
7, 38.1483, 15.0190, 10, 1.6764, 80, 200, -2.8864, 2.4013, 0.7909, -1.7482, 0.6724, 1.2694, -2.4638, 1.7543, 0.7091
8, 38.9588, 15.3381, 10, 1.6764, 80, 200, -2.8872, 2.4021, 0.7905, -1.7571, 0.6825, 1.2603, -2.4259, 1.6863, 0.7360
9, 42.7593, 16.8344, 10, 1.6764, 80, 200, -2.8844, 2.4005, 0.7926, -1.7669, 0.7050, 1.2455, -2.9557, 2.5704, 0.2419
10, 30.3467, 11.9475, 10, 1.6764, 80, 200, -2.8848, 2.4011, 0.7907, -1.7945, 0.7494, 1.2044, -2.2497, 1.4084, 0.9072
