trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 35.9778, 14.1645, 10, 1.6764, 80, 200, -0.4992, 2.3986, 0.8065, -0.8015, 1.9480, 0.7957, -1.2978, 1.5157, 1.3096
2, 6.4604, 2.5435, 10, 1.6764, 80, 200, -0.5012, 2.3985, 0.8055, -1.3097, 0.6749, 1.2070, -1.1671, 1.0039, 1.1375
3, 8.0638, 3.1747, 10, 1.6764, 80, 200, -0.5013, 2.3985, 0.8054, -1.3242, 0.6526, 1.2273, -1.1371, 1.0605, 1.1104
4, 20.0696, 7.9014, 10, 1.6764, 80, 200, -0.5002, 2.3989, 0.8048, -1.3217, 0.6471, 1.2318, -1.0172, 1.2653, 1.0057
5, 8.9740, 3.5331, 10, 1.6764, 80, 200, -0.5011, 2.3985, 0.8053, -1.3077, 0.6735, 1.2129, -1.1259, 1.0749, 1.0979
6, 30.8149, 12.1318, 10, 1.6764, 80, 200, -0.5003, 2.3989, 0.8048, -1.3497, 0.6041, 1.2635, -0.5441, 2.1889, 0.5609
7, 17.8551, 7.0296, 10, 1.6764, 80, 200, -0.5012, 2.3985, 0.8054, -1.3114, 0.6559, 1.2299, -0.9625, 1.3756, 0.9764
8, 18.2664, 7.1915, 10, 1.6764, 80, 200, -0.5011, 2.3986, 0.8053, -1.2850, 0.7045, 1.2005, -0.9547, 1.3942, 0.9609
9, 11.3320, 4.4614, 10, 1.6764, 80, 200, -0.5003, 2.3989, 0.8049, -1.3128, 0.6645, 1.2279, -1.0736, 1.1881, 1.0658
10, 23.7491, 9.3500, 10, 1.6764, 80, 200, -0.5003, 2.3989, 0.8049, -1.2689, 0.7363, 1.1829, -1.1667, 0.9980, 1.1572
11, 5.2318, 2.0598, 10, 1.6764, 80, 200, -0.4999, 2.3986, 0.8063, -1.2898, 0.6954, 1.2060, -1.1091, 1.0968, 1.1008
