trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 53.8127, 21.1861, 10, 1.6256, 80, 400, -1.4982, 2.4220, 0.7979, -1.5374, -1.4956, 1.3105, -1.5564, -1.0688, 1.3085
2, 61.1792, 24.0863, 10, 1.6256, 80, 400, -1.4984, 2.4218, 0.7981, -1.5400, -1.4909, 1.3068, -1.5592, -1.1492, 1.3108
3, 68.0038, 26.7731, 10, 1.6256, 80, 400, -1.4984, 2.4219, 0.7979, -1.5397, -1.5122, 1.3141, -1.5568, -1.2102, 1.3227
4, 70.4054, 27.7187, 10, 1.6256, 80, 400, -1.4981, 2.4220, 0.7980, -1.5482, -1.5045, 1.3047, -1.5735, -1.2009, 1.3116
5, 56.4297, 22.2164, 10, 1.6256, 80, 400, -1.4986, 2.4220, 0.7981, -1.5536, -1.5061, 1.3066, -1.5930, -1.0246, 1.2959
6, 64.4683, 25.3812, 10, 1.6256, 80, 400, -1.4983, 2.4219, 0.7981, -1.5600, -1.5067, 1.3103, -1.6019, -1.0451, 1.3079
7, 67.4441, 26.5528, 10, 1.6256, 80, 400, -1.4984, 2.4220, 0.7978, -1.5639, -1.5055, 1.3119, -1.6066, -1.0666, 1.3111
8, 60.0509, 23.6421, 10, 1.6256, 80, 400, -1.4982, 2.4220, 0.7979, -1.5564, -1.5161, 1.3133, -1.5892, -1.0091, 1.3130
9, 61.9107, 24.3743, 10, 1.6256, 80, 400, -1.4982, 2.4219, 0.7980, -1.5577, -1.5026, 1.3094, -1.5929, -1.0586, 1.3077
10, 70.1754, 27.6281, 10, 1.6256, 80, 400, -1.4984, 2.4221, 0.7980, -1.5576, -1.5150, 1.3159, -1.5909, -1.1739, 1.3183
11, 100.5091, 39.5705, 10, 1.6256, 80, 400, -1.4980, 2.4221, 0.7980, -1.5519, -1.4981, 1.3106, -1.5792, -1.2731, 1.3308
12, 68.1370, 26.8256, 10, 1.6256, 80, 400, -1.4982, 2.4220, 0.7979, -1.5515, -1.5020, 1.3149, -1.5961, -0.9882, 1.3202
13, 73.5041, 28.9386, 10, 1.6256, 80, 400, -1.4986, 2.4219, 0.7981, -1.5507, -1.4964, 1.3157, -1.5901, -1.0616, 1.3265
14, 147.8636, 58.2140, 10, 1.6256, 80, 400, -1.4985, 2.4221, 0.7979, -1.5511, -1.4886, 1.3063, -1.5750, -1.3401, 1.3391
15, 70.7273, 27.8454, 10, 1.6256, 80, 400, -1.4981, 2.4221, 0.7981, -1.5554, -1.4918, 1.3154, -1.6050, -0.9698, 1.3217
16, 88.7740, 34.9504, 10, 1.6256, 80, 400, -1.4982, 2.4220, 0.7979, -1.5535, -1.4958, 1.3145, -1.5817, -1.2306, 1.3308
17, 170.1022, 66.9694, 10, 1.6256, 80, 400, -1.4983, 2.4219, 0.7980, -1.5539, -1.4718, 1.3042, -1.5791, -1.3376, 1.3424
18, 84.3972, 33.2273, 10, 1.6256, 80, 400, -1.4984, 2.4219, 0.7980, -1.5588, -1.4897, 1.3145, -1.5936, -1.1658, 1.3297
19, 131.7469, 51.8689, 10, 1.6256, 80, 400, -1.4982, 2.4220, 0.7979, -1.5645, -1.4722, 1.3098, -1.5920, -1.2916, 1.3407
20, 86.4773, 34.0462, 10, 1.6256, 80, 400, -1.4984, 2.4221, 0.7979, -1.5664, -1.4897, 1.3158, -1.5933, -1.2247, 1.3305
