trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 359.1363, 141.3923, 10, 1.6256, 80, 500, -1.4975, 2.4229, 0.7976, -1.5476, -2.3863, 1.2359, -1.5763, -2.3160, 1.2951
2, 374.1876, 147.3180, 10, 1.6256, 80, 500, -1.4977, 2.4230, 0.7978, -1.5430, -2.3740, 1.2304, -1.5737, -2.3046, 1.2955
3, 149.4801, 58.8504, 10, 1.6256, 80, 500, -1.4976, 2.4227, 0.7978, -1.5426, -2.4137, 1.2548, -1.5718, -2.2486, 1.2816
4, 141.5438, 55.7259, 10, 1.6256, 80, 500, -1.4975, 2.4229, 0.7974, -1.5395, -2.4101, 1.2543, -1.5694, -2.2317, 1.2807
5, 184.7056, 72.7187, 10, 1.6256, 80, 500, -1.4974, 2.4230, 0.7975, -1.5366, -2.4054, 1.2464, -1.5658, -2.2623, 1.2819
6, 164.5462, 64.7820, 10, 1.6256, 80, 500, -1.4975, 2.4229, 0.7976, -1.5411, -2.4192, 1.2510, -1.5713, -2.2635, 1.2811
7, 83.9887, 33.0664, 10, 1.6256, 80, 500, -1.4974, 2.4229, 0.7976, -1.5427, -2.4274, 1.2575, -1.5738, -2.1794, 1.2614
8, 187.5437, 73.8361, 10, 1.6256, 80, 500, -1.4975, 2.4229, 0.7976, -1.5445, -2.4001, 1.2473, -1.5777, -2.2453, 1.2858
9, 62.5203, 24.6143, 10, 1.6256, 80, 500, -1.4974, 2.4230, 0.7974, -1.5459, -2.4509, 1.2793, -1.5700, -2.2193, 1.2702
10, 61.4680, 24.2000, 10, 1.6256, 80, 500, -1.4975, 2.4229, 0.7976, -1.5474, -2.4423, 1.2751, -1.5696, -2.2264, 1.2664
11, 87.2877, 34.3652, 10, 1.6256, 80, 500, -1.4973, 2.4230, 0.7976, -1.5339, -2.4140, 1.2726, -1.5636, -2.1978, 1.2751
12, 67.6607, 26.6381, 10, 1.6256, 80, 500, -1.4974, 2.4230, 0.7976, -1.5324, -2.4115, 1.2702, -1.5584, -2.1808, 1.2645
13, 44.1881, 17.3969, 10, 1.6256, 80, 500, -1.4978, 2.4229, 0.7977, -1.5304, -2.4375, 1.2832, -1.5584, -2.1027, 1.2454
14, 45.8320, 18.0441, 10, 1.6256, 80, 500, -1.4975, 2.4229, 0.7975, -1.5253, -2.4195, 1.2728, -1.5555, -2.0548, 1.2241
