trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 29.6735, 11.6825, 10, 1.6764, 80, 300, -0.5052, 2.4047, 0.8040, -1.3799, -0.3212, 1.2861, -1.2889, 0.0523, 1.2503
2, 24.8614, 9.7880, 10, 1.6764, 80, 300, -0.5051, 2.4047, 0.8043, -1.3765, -0.3083, 1.2776, -1.2823, 0.0818, 1.2296
3, 38.0340, 14.9740, 10, 1.6764, 80, 300, -0.5051, 2.4047, 0.8041, -1.3694, -0.2820, 1.2684, -1.2979, 0.0334, 1.2482
4, 28.5886, 11.2554, 10, 1.6764, 80, 300, -0.5051, 2.4047, 0.8041, -1.3682, -0.2941, 1.2739, -1.2785, 0.0683, 1.2403
5, 48.9398, 19.2676, 10, 1.6764, 80, 300, -0.5051, 2.4047, 0.8040, -1.3670, -0.2911, 1.2677, -1.3082, -0.0165, 1.2616
6, 108.9939, 42.9110, 10, 1.6764, 80, 300, -0.5052, 2.4048, 0.8042, -1.3580, -0.2642, 1.2551, -1.3356, -0.0992, 1.2879
7, 133.7928, 52.6743, 10, 1.6764, 80, 300, -0.5061, 2.4044, 0.8045, -1.3548, -0.2641, 1.2535, -1.3392, -0.1233, 1.2960
8, 62.4788, 24.5979, 10, 1.6764, 80, 300, -0.5052, 2.4048, 0.8041, -1.3535, -0.2663, 1.2537, -1.3055, -0.0228, 1.2617
9, 129.6947, 51.0609, 10, 1.6764, 80, 300, -0.5049, 2.4047, 0.8040, -1.3465, -0.2414, 1.2410, -1.3332, -0.1035, 1.2802
10, 107.2454, 42.2226, 10, 1.6764, 80, 300, -0.5053, 2.4047, 0.8042, -1.3550, -0.2695, 1.2535, -1.3360, -0.1142, 1.2821
